fpath,gender,masterCategory,baseColour,subCategory,articleType,labels,id,season,usage,fname
training_img/42996.jpg,Women,Footwear,White,Shoes,Other,Women;Footwear;Shoes;Sports Shoes;White;Summer;Sports,,,,
training_img/22881.jpg,Men,Footwear,Khaki,Sandal,Other,Men;Footwear;Sandal;Sports Sandals;Khaki;Winter;Casual,,,,
training_img/54134.jpg,Women,Footwear,Brown,Shoes,Other,Women;Footwear;Shoes;Heels;Brown;Winter;Casual,,,,
training_img/4524.jpg,Men,Footwear,Black,Shoes,Other,Men;Footwear;Shoes;Sports Shoes;Black;Summer;Sports,,,,
training_img/58702.jpg,Women,Apparel,Multi,Topwear,Other,Women;Apparel;Topwear;Kurtas;Multi;Summer;Ethnic,,,,
training_img/34484.jpg,Women,Apparel,Brown,Topwear,Other,Women;Apparel;Topwear;Tops;Brown;Summer;Casual,,,,
training_img/30463.jpg,Women,Apparel,Pink,Innerwear,Other,Women;Apparel;Innerwear;Bra;Pink;Summer;Casual,,,,
training_img/32007.jpg,Men,Accessories,Black,Socks,Other,Men;Accessories;Socks;Socks;Black;Summer;Casual,,,,
training_img/54865.jpg,Women,Accessories,Red,Jewellery,Other,Women;Accessories;Jewellery;Necklace and Chains;Red;Fall;Casual,,,,
training_img/19962.jpg,Men,Apparel,Grey,Topwear,Other,Men;Apparel;Topwear;Sweaters;Grey;Fall;Casual,,,,
training_img/37776.jpg,Men,Apparel,White,Topwear,"Shirts, TShirts & Tops",Men;Apparel;Topwear;Shirts;White;Summer;Casual,,,,
training_img/45216.jpg,Women,Accessories,White,Watches,Other,Women;Accessories;Watches;Watches;White;Winter;Casual,,,,
training_img/10682.jpg,Men,Apparel,Tan,Topwear,Other,Men;Apparel;Topwear;Tshirts;Tan;Fall;Casual,,,,
training_img/15736.jpg,Men,Footwear,White,Shoes,Other,Men;Footwear;Shoes;Casual Shoes;White;Fall;Casual,,,,
training_img/34241.jpg,Men,Apparel,Black,Topwear,Other,Men;Apparel;Topwear;Tshirts;Black;Summer;Casual,,,,
training_img/20368.jpg,Men,Apparel,Blue,Topwear,"Shirts, TShirts & Tops",Men;Apparel;Topwear;Shirts;Blue;Summer;Casual,,,,
training_img/57878.jpg,Women,Personal Care,Beige,Skin Care,Other,Women;Personal Care;Skin Care;Mask and Peel;Beige;Spring;Casual,,,,
training_img/12079.jpg,Women,Apparel,Yellow,Topwear,Other,Women;Apparel;Topwear;Kurtas;Yellow;Fall;Ethnic,,,,
training_img/8191.jpg,Men,Apparel,Navy Blue,Topwear,"Shirts, TShirts & Tops",Men;Apparel;Topwear;Shirts;Navy Blue;Summer;Casual,,,,
training_img/42837.jpg,Women,Accessories,Black,Bags,Other,Women;Accessories;Bags;Handbags;Black;Summer;Casual,,,,
training_img/51934.jpg,Women,Accessories,Yellow,Bags,Other,Women;Accessories;Bags;Handbags;Yellow;Summer;Casual,,,,
training_img/24107.jpg,Men,Footwear,Red,Flip Flops,Other,Men;Footwear;Flip Flops;Flip Flops;Red;Fall;Casual,,,,
training_img/18721.jpg,Women,Apparel,Pink,Topwear,Other,Women;Apparel;Topwear;Tops;Pink;Fall;Casual,,,,
training_img/58533.jpg,Unisex,Accessories,Black,Eyewear,Other,Unisex;Accessories;Eyewear;Sunglasses;Black;Winter;Casual,,,,
training_img/20689.jpg,Men,Footwear,Brown,Shoes,Other,Men;Footwear;Shoes;Casual Shoes;Brown;Winter;Casual,,,,
training_img/23211.jpg,Women,Apparel,Green,Topwear,Other,Women;Apparel;Topwear;Kurtas;Green;Fall;Ethnic,,,,
training_img/23917.jpg,Women,Footwear,White,Shoes,Other,Women;Footwear;Shoes;Casual Shoes;White;Summer;Casual,,,,
training_img/52990.jpg,Women,Apparel,Multi,Saree,Other,Women;Apparel;Saree;Sarees;Multi;Fall;Ethnic,,,,
training_img/52983.jpg,Women,Apparel,Maroon,Saree,Other,Women;Apparel;Saree;Sarees;Maroon;Fall;Ethnic,,,,
training_img/15202.jpg,Men,Apparel,Blue,Topwear,Other,Men;Apparel;Topwear;Tshirts;Blue;Fall;Casual,,,,
training_img/14976.jpg,Men,Accessories,Black,Belts,Other,Men;Accessories;Belts;Belts;Black;Fall;Formal,,,,
training_img/38186.jpg,Women,Accessories,Silver,Eyewear,Other,Women;Accessories;Eyewear;Sunglasses;Silver;Winter;Casual,,,,
training_img/8403.jpg,Men,Apparel,Blue,Topwear,Other,Men;Apparel;Topwear;Tshirts;Blue;Fall;Sports,,,,
training_img/20490.jpg,Women,Accessories,Brown,Bags,Other,Women;Accessories;Bags;Handbags;Brown;Winter;Casual,,,,
training_img/59223.jpg,Women,Accessories,Silver,Watches,Other,Women;Accessories;Watches;Watches;Silver;Winter;Casual,,,,
training_img/51442.jpg,Women,Apparel,White,Topwear,Other,Women;Apparel;Topwear;Tops;White;Summer;Casual,,,,
training_img/51006.jpg,Women,Apparel,Brown,Innerwear,Other,Women;Apparel;Innerwear;Bra;Brown;Summer;Casual,,,,
training_img/59728.jpg,Women,Apparel,Pink,Innerwear,Other,Women;Apparel;Innerwear;Bra;Pink;Summer;Casual,,,,
training_img/50342.jpg,Women,Apparel,Purple,Topwear,Other,Women;Apparel;Topwear;Kurtis;Purple;Summer;Ethnic,,,,
training_img/8202.jpg,Men,Apparel,Grey,Topwear,Other,Men;Apparel;Topwear;Tshirts;Grey;Summer;Casual,,,,
training_img/3305.jpg,Men,Footwear,Grey,Shoes,Other,Men;Footwear;Shoes;Sports Shoes;Grey;Spring;Sports,,,,
training_img/23752.jpg,Unisex,Accessories,Pink,Eyewear,Other,Unisex;Accessories;Eyewear;Sunglasses;Pink;Winter;Casual,,,,
training_img/33230.jpg,Unisex,Accessories,Brown,Bags,Other,Unisex;Accessories;Bags;Laptop Bag;Brown;Summer;Casual,,,,
training_img/48470.jpg,Women,Apparel,Teal,Dress,Skirts & Dresses,Women;Apparel;Dress;Dresses;Teal;Summer;Casual,,,,
training_img/52299.jpg,Men,Apparel,Red,Innerwear,Other,Men;Apparel;Innerwear;Boxers;Red;Summer;Casual,,,,
training_img/2578.jpg,Women,Apparel,White,Bottomwear,Other,Women;Apparel;Bottomwear;Capris;White;Summer;Casual,,,,
training_img/40087.jpg,Men,Apparel,Black,Topwear,Other,Men;Apparel;Topwear;Tshirts;Black;Summer;Casual,,,,
training_img/22505.jpg,Women,Footwear,Grey,Shoes,Other,Women;Footwear;Shoes;Casual Shoes;Grey;Winter;Casual,,,,
training_img/3951.jpg,Women,Apparel,Navy Blue,Topwear,Other,Women;Apparel;Topwear;Tops;Navy Blue;Summer;Casual,,,,
training_img/12821.jpg,Women,Footwear,Blue,Shoes,Other,Women;Footwear;Shoes;Casual Shoes;Blue;Fall;Casual,,,,
training_img/26721.jpg,Men,Apparel,Black,Topwear,Other,Men;Apparel;Topwear;Tshirts;Black;Summer;Casual,,,,
training_img/10295.jpg,Men,Footwear,Brown,Shoes,Other,Men;Footwear;Shoes;Casual Shoes;Brown;Summer;Casual,,,,
training_img/7418.jpg,Women,Apparel,Green,Topwear,Other,Women;Apparel;Topwear;Kurtas;Green;Summer;Ethnic,,,,
training_img/19402.jpg,Men,Apparel,Black,Topwear,Other,Men;Apparel;Topwear;Tshirts;Black;Fall;Casual,,,,
training_img/25632.jpg,Women,Accessories,Pink,Watches,Other,Women;Accessories;Watches;Watches;Pink;Winter;Casual,,,,
training_img/51577.jpg,Men,Accessories,Red,Watches,Other,Men;Accessories;Watches;Watches;Red;Winter;Casual,,,,
training_img/13224.jpg,Men,Apparel,Blue,Topwear,Sweatshirts,Men;Apparel;Topwear;Sweatshirts;Blue;Fall;Casual,,,,
training_img/6032.jpg,Women,Apparel,Navy Blue,Topwear,Other,Women;Apparel;Topwear;Tshirts;Navy Blue;Summer;Casual,,,,
training_img/14676.jpg,Men,Apparel,Brown,Topwear,"Shirts, TShirts & Tops",Men;Apparel;Topwear;Shirts;Brown;Fall;Casual,,,,
training_img/18784.jpg,Men,Accessories,Lavender,Ties,Other,Men;Accessories;Ties;Ties;Lavender;Summer;Formal,,,,
training_img/5415.jpg,Girls,Apparel,Red,Topwear,Other,Girls;Apparel;Topwear;Tshirts;Red;Summer;Casual,,,,
training_img/37585.jpg,Girls,Apparel,White,Topwear,Other,Girls;Apparel;Topwear;Rompers;White;Summer;Casual,,,,
training_img/20279.jpg,Women,Footwear,Beige,Shoes,Other,Women;Footwear;Shoes;Heels;Beige;Winter;Casual,,,,
training_img/58629.jpg,Women,Accessories,Black,Jewellery,Other,Women;Accessories;Jewellery;Bangle;Black;Winter;Casual,,,,
training_img/10987.jpg,Men,Apparel,Navy Blue,Topwear,Other,Men;Apparel;Topwear;Tshirts;Navy Blue;Fall;Casual,,,,
training_img/11878.jpg,Men,Footwear,Black,Shoes,Other,Men;Footwear;Shoes;Formal Shoes;Black;Summer;Formal,,,,
training_img/59375.jpg,Women,Apparel,White,Topwear,Other,Women;Apparel;Topwear;Kurtas;White;Summer;Ethnic,,,,
training_img/41721.jpg,Women,Footwear,Brown,Shoes,Other,Women;Footwear;Shoes;Heels;Brown;Winter;Casual,,,,
training_img/32591.jpg,Women,Apparel,Pink,Bottomwear,Skirts & Dresses,Women;Apparel;Bottomwear;Skirts;Pink;Summer;Casual,,,,
training_img/5585.jpg,Men,Footwear,White,Shoes,Other,Men;Footwear;Shoes;Sports Shoes;White;Summer;Sports,,,,
training_img/55319.jpg,Women,Personal Care,White,Skin Care,Other,Women;Personal Care;Skin Care;Sunscreen;White;Spring;Casual,,,,
training_img/7874.jpg,Men,Footwear,Tan,Shoes,Other,Men;Footwear;Shoes;Formal Shoes;Tan;Summer;Formal,,,,
training_img/37683.jpg,Unisex,Accessories,Black,Bags,Other,Unisex;Accessories;Bags;Backpacks;Black;Summer;Casual,,,,
training_img/24868.jpg,Men,Accessories,Black,Wallets,Other,Men;Accessories;Wallets;Wallets;Black;Summer;Casual,,,,
training_img/40641.jpg,Women,Apparel,Green,Topwear,Other,Women;Apparel;Topwear;Kurtas;Green;Summer;Ethnic,,,,
training_img/14086.jpg,Men,Apparel,Grey,Topwear,Other,Men;Apparel;Topwear;Sweaters;Grey;Fall;Casual,,,,
training_img/51432.jpg,Women,Apparel,White,Topwear,"Shirts, TShirts & Tops",Women;Apparel;Topwear;Shirts;White;Summer;Casual,,,,
training_img/42883.jpg,Women,Accessories,Black,Bags,Other,Women;Accessories;Bags;Handbags;Black;Summer;Casual,,,,
training_img/49913.jpg,Men,Accessories,Black,Watches,Other,Men;Accessories;Watches;Watches;Black;Winter;Casual,,,,
training_img/50231.jpg,Women,Accessories,Lavender,Eyewear,Other,Women;Accessories;Eyewear;Sunglasses;Lavender;Winter;Casual,,,,
training_img/25240.jpg,Women,Accessories,Green,Bags,Other,Women;Accessories;Bags;Handbags;Green;Winter;Casual,,,,
training_img/18755.jpg,Women,Apparel,Blue,Dress,Skirts & Dresses,Women;Apparel;Dress;Dresses;Blue;Fall;Casual,,,,
training_img/53880.jpg,Men,Footwear,Navy Blue,Flip Flops,Other,Men;Footwear;Flip Flops;Flip Flops;Navy Blue;Summer;Casual,,,,
training_img/46584.jpg,Women,Footwear,White,Shoes,Other,Women;Footwear;Shoes;Heels;White;Summer;Casual,,,,
training_img/33716.jpg,Women,Accessories,Black,Bags,Other,Women;Accessories;Bags;Handbags;Black;Winter;Casual,,,,
training_img/32342.jpg,Men,Accessories,White,Watches,Other,Men;Accessories;Watches;Watches;White;Winter;Casual,,,,
training_img/3178.jpg,Women,Footwear,White,Shoes,Other,Women;Footwear;Shoes;Sports Shoes;White;Summer;Sports,,,,
training_img/8847.jpg,Men,Apparel,White,Topwear,"Shirts, TShirts & Tops",Men;Apparel;Topwear;Shirts;White;Fall;Casual,,,,
training_img/29024.jpg,Men,Apparel,Navy Blue,Topwear,Other,Men;Apparel;Topwear;Tshirts;Navy Blue;Summer;Sports,,,,
training_img/58873.jpg,Men,Accessories,Blue,Ties,Other,Men;Accessories;Ties;Ties;Blue;Summer;Casual,,,,
training_img/22122.jpg,Men,Footwear,Black,Shoes,Other,Men;Footwear;Shoes;Formal Shoes;Black;Summer;Formal,,,,
training_img/10030.jpg,Women,Apparel,Black,Topwear,Other,Women;Apparel;Topwear;Tshirts;Black;Fall;Sports,,,,
training_img/57592.jpg,Women,Personal Care,Brown,Lips,Other,Women;Personal Care;Lips;Lipstick;Brown;Spring;Casual,,,,
training_img/21292.jpg,Women,Accessories,Metallic,Eyewear,Other,Women;Accessories;Eyewear;Sunglasses;Metallic;Winter;Casual,,,,
training_img/7911.jpg,Men,Apparel,Grey,Topwear,Other,Men;Apparel;Topwear;Tshirts;Grey;Fall;Casual,,,,
training_img/51515.jpg,Men,Accessories,Blue,Watches,Other,Men;Accessories;Watches;Watches;Blue;Winter;Casual,,,,
training_img/9557.jpg,Men,Apparel,Blue,Topwear,Other,Men;Apparel;Topwear;Tshirts;Blue;Summer;Sports,,,,
training_img/27677.jpg,Women,Accessories,Blue,Bags,Other,Women;Accessories;Bags;Handbags;Blue;Winter;Casual,,,,
training_img/13519.jpg,Men,Apparel,White,Topwear,Sweatshirts,Men;Apparel;Topwear;Sweatshirts;White;Fall;Casual,,,,
training_img/49673.jpg,Men,Accessories,Steel,Eyewear,Other,Men;Accessories;Eyewear;Sunglasses;Steel;Winter;Casual,,,,
training_img/57446.jpg,Women,Apparel,Black,Topwear,Other,Women;Apparel;Topwear;Tshirts;Black;Summer;Casual,,,,
training_img/32433.jpg,Men,Apparel,White,Topwear,Other,Men;Apparel;Topwear;Tshirts;White;Summer;Casual,,,,
training_img/26814.jpg,Men,Apparel,Blue,Topwear,"Shirts, TShirts & Tops",Men;Apparel;Topwear;Shirts;Blue;Summer;Formal,,,,
training_img/4994.jpg,Men,Footwear,Black,Shoes,Other,Men;Footwear;Shoes;Sports Shoes;Black;Summer;Sports,,,,
training_img/55378.jpg,Women,Personal Care,Silver,Nails,Other,Women;Personal Care;Nails;Nail Polish;Silver;Spring;Casual,,,,
training_img/48610.jpg,Women,Accessories,Silver,Jewellery,Other,Women;Accessories;Jewellery;Earrings;Silver;Summer;Casual,,,,
training_img/26843.jpg,Men,Apparel,Grey,Bottomwear,Other,Men;Apparel;Bottomwear;Trousers;Grey;Summer;Casual,,,,
training_img/35783.jpg,Women,Footwear,Turquoise Blue,Shoes,Other,Women;Footwear;Shoes;Heels;Turquoise Blue;Summer;Casual,,,,
training_img/41449.jpg,Men,Footwear,White,Shoes,Other,Men;Footwear;Shoes;Casual Shoes;White;Fall;Casual,,,,
training_img/28379.jpg,Men,Accessories,Grey,Eyewear,Other,Men;Accessories;Eyewear;Sunglasses;Grey;Winter;Casual,,,,
training_img/37943.jpg,Women,Apparel,Beige,Topwear,Other,Women;Apparel;Topwear;Tunics;Beige;Summer;Casual,,,,
training_img/38203.jpg,Men,Accessories,Grey,Eyewear,Other,Men;Accessories;Eyewear;Sunglasses;Grey;Winter;Casual,,,,
training_img/54874.jpg,Women,Accessories,Gold,Jewellery,Other,Women;Accessories;Jewellery;Necklace and Chains;Gold;Fall;Casual,,,,
training_img/14341.jpg,Women,Footwear,Green,Flip Flops,Other,Women;Footwear;Flip Flops;Flip Flops;Green;Summer;Casual,,,,
training_img/15776.jpg,Men,Apparel,Blue,Innerwear,Other,Men;Apparel;Innerwear;Briefs;Blue;Summer;Casual,,,,
training_img/44903.jpg,Men,Apparel,Blue,Topwear,Other,Men;Apparel;Topwear;Tshirts;Blue;Summer;Casual,,,,
training_img/6172.jpg,Men,Apparel,Yellow,Topwear,Other,Men;Apparel;Topwear;Tshirts;Yellow;Summer;Casual,,,,
training_img/7388.jpg,Men,Footwear,Black,Shoes,Other,Men;Footwear;Shoes;Formal Shoes;Black;Winter;Formal,,,,
training_img/34914.jpg,Women,Apparel,Olive,Topwear,Other,Women;Apparel;Topwear;Dupatta;Olive;Summer;Ethnic,,,,
training_img/56896.jpg,Women,Footwear,Black,Shoes,Other,Women;Footwear;Shoes;Heels;Black;Winter;Casual,,,,
training_img/6366.jpg,Unisex,Footwear,Brown,Sandal,Other,Unisex;Footwear;Sandal;Sandals;Brown;Summer;Casual,,,,
training_img/57837.jpg,Unisex,Accessories,Black,Bags,Other,Unisex;Accessories;Bags;Handbags;Black;Summer;Casual,,,,
training_img/18704.jpg,Men,Apparel,Blue,Innerwear,Other,Men;Apparel;Innerwear;Briefs;Blue;Summer;Casual,,,,
training_img/11956.jpg,Men,Footwear,Brown,Shoes,Other,Men;Footwear;Shoes;Casual Shoes;Brown;Summer;Casual,,,,
training_img/58269.jpg,Women,Accessories,Brown,Bags,Other,Women;Accessories;Bags;Handbags;Brown;Fall;Casual,,,,
training_img/32849.jpg,Women,Footwear,Brown,Shoes,Other,Women;Footwear;Shoes;Heels;Brown;Winter;Casual,,,,
training_img/19911.jpg,Unisex,Accessories,Grey,Bags,Other,Unisex;Accessories;Bags;Messenger Bag;Grey;Winter;Casual,,,,
training_img/30670.jpg,Men,Accessories,Black,Eyewear,Other,Men;Accessories;Eyewear;Sunglasses;Black;Winter;Casual,,,,
training_img/41379.jpg,Women,Apparel,Red,Topwear,Other,Women;Apparel;Topwear;Tops;Red;Summer;Casual,,,,
training_img/50554.jpg,Men,Apparel,Grey Melange,Innerwear,Other,Men;Apparel;Innerwear;Innerwear Vests;Grey Melange;Summer;Casual,,,,
training_img/14954.jpg,Men,Apparel,Navy Blue,Topwear,Other,Men;Apparel;Topwear;Tshirts;Navy Blue;Fall;Casual,,,,
training_img/41043.jpg,Men,Accessories,White,Watches,Other,Men;Accessories;Watches;Watches;White;Winter;Casual,,,,
training_img/24676.jpg,Women,Accessories,Black,Bags,Other,Women;Accessories;Bags;Handbags;Black;Winter;Casual,,,,
training_img/58988.jpg,Women,Personal Care,Green,Fragrance,Other,Women;Personal Care;Fragrance;Deodorant;Green;Spring;Casual,,,,
training_img/15061.jpg,Men,Footwear,Black,Shoes,Other,Men;Footwear;Shoes;Formal Shoes;Black;Summer;Formal,,,,
training_img/17946.jpg,Men,Apparel,Navy Blue,Bottomwear,Other,Men;Apparel;Bottomwear;Track Pants;Navy Blue;Fall;Sports,,,,
training_img/52390.jpg,Women,Apparel,Green,Loungewear and Nightwear,Other,Women;Apparel;Loungewear and Nightwear;Nightdress;Green;Winter;Casual,,,,
training_img/4973.jpg,Men,Apparel,Yellow,Topwear,"Shirts, TShirts & Tops",Men;Apparel;Topwear;Shirts;Yellow;Summer;Casual,,,,
training_img/22256.jpg,Women,Footwear,Red,Shoes,Other,Women;Footwear;Shoes;Flats;Red;Fall;Casual,,,,
training_img/5982.jpg,Men,Apparel,Blue,Topwear,"Shirts, TShirts & Tops",Men;Apparel;Topwear;Shirts;Blue;Summer;Casual,,,,
training_img/29711.jpg,Men,Apparel,Blue,Topwear,"Shirts, TShirts & Tops",Men;Apparel;Topwear;Shirts;Blue;Summer;Formal,,,,
training_img/11196.jpg,Men,Accessories,Orange,Watches,Other,Men;Accessories;Watches;Watches;Orange;Winter;Casual,,,,
training_img/19762.jpg,Men,Accessories,Black,Watches,Other,Men;Accessories;Watches;Watches;Black;Winter;Casual,,,,
training_img/33897.jpg,Men,Accessories,Black,Watches,Other,Men;Accessories;Watches;Watches;Black;Winter;Casual,,,,
training_img/52157.jpg,Women,Apparel,Pink,Topwear,Other,Women;Apparel;Topwear;Tops;Pink;Summer;Casual,,,,
training_img/56921.jpg,Women,Footwear,Blue,Shoes,Other,Women;Footwear;Shoes;Heels;Blue;Winter;Casual,,,,
training_img/12116.jpg,Women,Apparel,Orange,Topwear,Other,Women;Apparel;Topwear;Kurtas;Orange;Fall;Ethnic,,,,
training_img/59721.jpg,Women,Apparel,Black,Innerwear,Other,Women;Apparel;Innerwear;Bra;Black;Summer;Casual,,,,
training_img/13865.jpg,Men,Apparel,Green,Topwear,"Shirts, TShirts & Tops",Men;Apparel;Topwear;Shirts;Green;Fall;Casual,,,,
training_img/7922.jpg,Men,Apparel,Green,Topwear,Other,Men;Apparel;Topwear;Tshirts;Green;Fall;Casual,,,,
training_img/7111.jpg,Unisex,Accessories,Black,Bags,Other,Unisex;Accessories;Bags;Backpacks;Black;Winter;Casual,,,,
training_img/10361.jpg,Men,Apparel,Purple,Topwear,Other,Men;Apparel;Topwear;Tshirts;Purple;Fall;Casual,,,,
training_img/30332.jpg,Men,Apparel,Black,Topwear,Other,Men;Apparel;Topwear;Tshirts;Black;Summer;Casual,,,,
training_img/13552.jpg,Women,Footwear,Yellow,Shoes,Other,Women;Footwear;Shoes;Flats;Yellow;Winter;Casual,,,,
training_img/34403.jpg,Men,Apparel,Black,Topwear,Other,Men;Apparel;Topwear;Tshirts;Black;Summer;Casual,,,,
training_img/41597.jpg,Men,Apparel,Navy Blue,Topwear,"Shirts, TShirts & Tops",Men;Apparel;Topwear;Shirts;Navy Blue;Summer;Casual,,,,
training_img/17041.jpg,Men,Footwear,Grey,Shoes,Other,Men;Footwear;Shoes;Casual Shoes;Grey;Fall;Casual,,,,
training_img/18629.jpg,Women,Apparel,White,Topwear,Other,Women;Apparel;Topwear;Tshirts;White;Summer;Casual,,,,
training_img/40005.jpg,Men,Accessories,Black,Eyewear,Other,Men;Accessories;Eyewear;Sunglasses;Black;Winter;Casual,,,,
training_img/23124.jpg,Unisex,Footwear,Navy Blue,Flip Flops,Other,Unisex;Footwear;Flip Flops;Flip Flops;Navy Blue;Spring;Casual,,,,
training_img/17489.jpg,Women,Footwear,Off White,Shoes,Other,Women;Footwear;Shoes;Flats;Off White;Fall;Casual,,,,
training_img/7103.jpg,Unisex,Accessories,Grey,Bags,Other,Unisex;Accessories;Bags;Backpacks;Grey;Winter;Casual,,,,
training_img/58696.jpg,Women,Apparel,Mustard,Topwear,Other,Women;Apparel;Topwear;Kurtas;Mustard;Summer;Ethnic,,,,
training_img/58528.jpg,Unisex,Accessories,Brown,Eyewear,Other,Unisex;Accessories;Eyewear;Sunglasses;Brown;Winter;Casual,,,,
training_img/50283.jpg,Men,Accessories,Purple,Ties,Other,Men;Accessories;Ties;Ties;Purple;Summer;Formal,,,,
training_img/3410.jpg,Men,Apparel,White,Topwear,Other,Men;Apparel;Topwear;Tshirts;White;Summer;Casual,,,,
training_img/19791.jpg,Men,Apparel,Yellow,Topwear,Other,Men;Apparel;Topwear;Tshirts;Yellow;Winter;Casual,,,,
